Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65200255
Total DOS in Cell and MT Volumes =    4.89236146   4.16133234
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13295171           0.61771073           0.50750237
  1    -1           0.07655696           0.60174775           0.41857140
  1     0           0.07655696           0.60198561           0.41857140
  1     1           0.07655696           0.60222348           0.41857140
  2    -2           2.97800987           0.48319779           0.47512280
  2    -1           2.97872328           0.48422055           0.47849716
  2     0           2.97729646           0.48138054           0.47174844
  2     1           2.97872328           0.48452058           0.47849716
  2     2           2.97800987           0.48255333           0.47512280
  3    -3           0.00138461           0.00638790           0.00210092
  3    -2           0.00145638           0.00751801           0.00345789
  3    -1           0.00141866           0.00449861           0.00156255
  3     0           0.00133354           0.00982750           0.00290847
  3     1           0.00141866           0.00452061           0.00156255
  3     2           0.00145638           0.00751912           0.00345789
  3     3           0.00138461           0.00688563           0.00210092
  4    -4           0.00003802           0.00119776           0.00029582
  4    -3           0.00004062          -0.00001347           0.00012212
  4    -2           0.00004103           0.00034330           0.00006852
  4    -1           0.00003816           0.00146377           0.00048120
  4     0           0.00003720           0.00036180           0.00004091
  4     1           0.00003816           0.00146394           0.00048120
  4     2           0.00004103          -0.00023963           0.00006852
  4     3           0.00004062           0.00028674           0.00012212
  4     4           0.00003802           0.00079950           0.00029582
