Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65200255
Total DOS in Cell and MT Volumes =    4.69429675   3.96467651
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13295171           0.93513415           0.77024205
  1    -1           0.07655696           0.55092856           0.38423335
  1     0           0.07655696           0.55116643           0.38423335
  1     1           0.07655696           0.55140429           0.38423335
  2    -2           2.97800987           0.41253098           0.40482578
  2    -1           2.97872328           0.40617711           0.40133327
  2     0           2.97729646           0.41809036           0.40831828
  2     1           2.97872328           0.40647715           0.40133327
  2     2           2.97800987           0.41188652           0.40482578
  3    -3           0.00138461           0.00672098           0.00287752
  3    -2           0.00145638           0.00574328           0.00289299
  3    -1           0.00141866           0.00619213           0.00288483
  3     0           0.00133354           0.00811993           0.00286655
  3     1           0.00141866           0.00621413           0.00288483
  3     2           0.00145638           0.00574440           0.00289299
  3     3           0.00138461           0.00721872           0.00287752
  4    -4           0.00003802           0.00077495           0.00010291
  4    -3           0.00004062          -0.00003005           0.00010150
  4    -2           0.00004103           0.00143606           0.00010205
  4    -1           0.00003816           0.00028676           0.00010112
  4     0           0.00003720           0.00029302           0.00010567
  4     1           0.00003816           0.00028693           0.00010112
  4     2           0.00004103           0.00085312           0.00010205
  4     3           0.00004062           0.00027016           0.00010150
  4     4           0.00003802           0.00037669           0.00010291
