Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65298574
Total DOS in Cell and MT Volumes =    3.83876207   3.32109848
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12261682           0.53206323           0.43968825
  1    -1           0.08243926           0.40285112           0.28217280
  1     0           0.08243926           0.40309957           0.28217280
  1     1           0.08243926           0.40334802           0.28217280
  2    -2           2.98215934           0.41804722           0.40853660
  2    -1           2.98291407           0.39175967           0.38648879
  2     0           2.98140461           0.44427290           0.43058441
  2     1           2.98291407           0.39175967           0.38648879
  2     2           2.98215934           0.41798535           0.40853660
  3    -3           0.00144022           0.00486080           0.00208997
  3    -2           0.00151634           0.00437879           0.00204385
  3    -1           0.00147527           0.00353900           0.00152816
  3     0           0.00138766           0.00747581           0.00293269
  3     1           0.00147527           0.00356138           0.00152816
  3     2           0.00151634           0.00437946           0.00204385
  3     3           0.00144022           0.00538008           0.00208997
