Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65298574
Total DOS in Cell and MT Volumes =    4.61174096   3.87902736
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12261682           0.93250349           0.77060546
  1    -1           0.08243926           0.55750755           0.38953887
  1     0           0.08243926           0.55775600           0.38953887
  1     1           0.08243926           0.55800445           0.38953887
  2    -2           2.98215934           0.39337577           0.38457815
  2    -1           2.98291407           0.38632661           0.38112882
  2     0           2.98140461           0.40036306           0.38802748
  2     1           2.98291407           0.38632661           0.38112882
  2     2           2.98215934           0.39331390           0.38457815
  3    -3           0.00144022           0.00675357           0.00290393
  3    -2           0.00151634           0.00579028           0.00292025
  3    -1           0.00147527           0.00623450           0.00291137
  3     0           0.00138766           0.00816448           0.00289276
  3     1           0.00147527           0.00625688           0.00291137
  3     2           0.00151634           0.00579095           0.00292025
  3     3           0.00144022           0.00727285           0.00290393
