Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65649051
Total DOS in Cell and MT Volumes =    3.82946369   3.31283704
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13120483           0.53045888           0.43826496
  1    -1           0.07849433           0.40185200           0.28066311
  1     0           0.07849433           0.40185200           0.28066311
  1     1           0.07849433           0.40185200           0.28066311
  2    -2           2.98050227           0.41671715           0.40818061
  2    -1           2.98050227           0.39392113           0.38585157
  2     0           2.98050227           0.43951317           0.43050966
  2     1           2.98050227           0.39392113           0.38585157
  2     2           2.98050227           0.41671715           0.40818061
  3    -3           0.00144579           0.00479609           0.00205722
  3    -2           0.00144579           0.00466095           0.00199926
  3    -1           0.00144579           0.00350966           0.00150542
  3     0           0.00144579           0.00672573           0.00288492
  3     1           0.00144579           0.00350966           0.00150542
  3     2           0.00144579           0.00466095           0.00199926
  3     3           0.00144579           0.00479609           0.00205722
